581400,1968.98,-219.63,2016-11-26 10:54:00.000
581401,1956.05,-215.51,2016-11-26 10:54:00.066
581402,1953.03,-214.65,2016-11-26 10:54:00.133
581403,1952.81,-214.24,2016-11-26 10:54:00.200
581404,2008.66,-224.5,2016-11-26 10:54:00.266
581405,1966.22,-209.82,2016-11-26 10:54:00.333
581406,1955.82,-209.71,2016-11-26 10:54:00.400
581407,1953.92,-212.18,2016-11-26 10:54:00.466
581408,1954.37,-214.15,2016-11-26 10:54:00.533
581409,1956.03,-214.25,2016-11-26 10:54:00.600
581410,1956.95,-213.95,2016-11-26 10:54:00.666
581411,1955.65,-214.41,2016-11-26 10:54:00.733
581412,1953.67,-214.93,2016-11-26 10:54:00.800
581413,1953.91,-214.69,2016-11-26 10:54:00.866
581414,1953.14,-215.04,2016-11-26 10:54:00.933
581415,1953.96,-214.83,2016-11-26 10:54:01.000
581416,1985.42,-223.04,2016-11-26 10:54:01.066
581417,1988.09,-214.31,2016-11-26 10:54:01.133
581418,1958.33,-208.47,2016-11-26 10:54:01.200
581419,1955.18,-210.4,2016-11-26 10:54:01.266
581420,1953.75,-213.93,2016-11-26 10:54:01.333
581421,1954.49,-214.83,2016-11-26 10:54:01.400
581422,1953.41,-214.93,2016-11-26 10:54:01.466
581423,1954.2,-215.19,2016-11-26 10:54:01.533
581424,1955.12,-214.65,2016-11-26 10:54:01.600
581425,1954.2,-214.41,2016-11-26 10:54:01.666
581426,1952.27,-214.42,2016-11-26 10:54:01.733
581427,1946.13,-214.45,2016-11-26 10:54:01.800
581428,1947.51,-213.5,2016-11-26 10:54:01.866
581429,2003.92,-224.43,2016-11-26 10:54:01.933
581430,1961.82,-209.03,2016-11-26 10:54:02.000
581431,1951.14,-208.68,2016-11-26 10:54:02.066
581432,1950.05,-211.58,2016-11-26 10:54:02.133
581433,1949.97,-213.85,2016-11-26 10:54:02.200
581434,1950.83,-213.99,2016-11-26 10:54:02.266
581435,1953.56,-215.81,2016-11-26 10:54:02.333
581436,1953.19,-215.72,2016-11-26 10:54:02.400
581437,1952.83,-214.94,2016-11-26 10:54:02.466
581438,1952.95,-215.01,2016-11-26 10:54:02.533
581439,1952.89,-214.77,2016-11-26 10:54:02.600
581440,1952.78,-214.39,2016-11-26 10:54:02.666
581441,1987.44,-222.98,2016-11-26 10:54:02.733
581442,1989.51,-214.91,2016-11-26 10:54:02.800
581443,1962.03,-207.95,2016-11-26 10:54:02.866
581444,1957.35,-210.81,2016-11-26 10:54:02.933
581445,1955.21,-213.52,2016-11-26 10:54:03.000
581446,1954.45,-214.68,2016-11-26 10:54:03.066
581447,1955.21,-215.32,2016-11-26 10:54:03.133
581448,1955.95,-215.74,2016-11-26 10:54:03.200
581449,1956.67,-215.51,2016-11-26 10:54:03.266
581450,1956.97,-216.88,2016-11-26 10:54:03.333
581451,1968.77,-221.42,2016-11-26 10:54:03.400
581452,1957.23,-216.23,2016-11-26 10:54:03.466
581453,1954.97,-215.35,2016-11-26 10:54:03.533
581454,2012.43,-225.37,2016-11-26 10:54:03.600
